Pergunta;Opção 1;Opção 2;Opção 3;Opção 4;Resposta Correta
 Qual é o verdadeiro nome do Homem de Ferro?;Bruce Wayne;Peter Parker;Tony Stark;Steve Rogers;3
Em que HQ o Superman fez sua primeira aparição?;Detective Comics #27;Action Comics #1;Marvel Comics #1;Amazing Fantasy #15;2
"Qual herói é conhecido como ""O Cavaleiro das Trevas""?";Superman;Batman;Flash;Lanterna Verde;2
Como o Capitão América recebeu seus poderes?;Nascendo com mutações genéticas;Sendo exposto à radiação;Através do Soro do Super Soldado;Usando tecnologia alienígena;3
Qual desses eventos resultou na criação do Multiverso da Marvel?;O Experimento do Beyonder;A destruição da Terra-1610;A Interferência dos Celestiais;A guerra entre Kang, o Conquistador e suas variantes;4
Qual das joias do infinito foi usada primeiro no  (MCU)?;Joia da Realidade;Joia do Espaço;Joia do Tempo;Joia da Mente;4
Em qual arco do Homem-Aranha Peter Parker fez um pacto com Mephisto para apagar seu casamento com Mary Jane da realidade?;O Último Desejo;A Última Caçada de Kraven;Um Novo Dia;Um Dia a Mais;4
Na DC Comics, qual foi o evento responsável pelo reboot que deu origem aos Novos 52?;Crise Infinita;Flashpoint;Zero Hora;Noite Final;2
Qual é o verdadeiro propósito dos Lanternas Amarelos, liderados por Sinestro?;Espalhar medo e dominação;Equilibrar as forças cósmicas;Proteger os setores da galáxia;Criar uma nova Tropa Verde;1
Nos quadrinhos, por que o Hulk ficou permanentemente cinza durante um período?;Era uma fase inicial da sua mutação;Um efeito colateral de radiação controlada;Bruce Banner perdeu completamente o controle sobre o monstro;A energia de uma Joia do Infinito afetou sua fisiologia;2
Como Barry Allen conseguiu se tornar o Flash na linha do tempo de Flashpoint?;Um novo acidente recriou suas condições originais;Ele nasceu com poderes;Ele roubou a Força de Aceleração;Ele recebeu poderes de um outro velocista;1
Qual desses personagens já se tornou um hospedeiro do simbionte Venom nos quadrinhos?;Tia May;Deadpool;Magneto;Justiceiro;2
Em qual arco Tony Stark criou uma IA para substituir os Vingadores?;Invasão Secreta;A Queda dos Vingadores;Era de Ultron;Reinado Sombrio;3
Qual versão do Batman se tornou um Deus do conhecimento após fundir-se com a Cadeira Mobius?;Batman do Amanhã;Batman Que Ri;Batman Deus;Batman Onipotente;3
Nos quadrinhos da Marvel, qual evento causou a destruição do multiverso e levou à criação do Mundo Bélico?;Invasão Secreta;Guerras Secretas (2015);Dinastia M;O Cerco;2
Qual é o verdadeiro motivo pelo qual Thanos coleta as Joias do Infinito nos quadrinhos?;Para dominar o universo;Para destruir os Celestiais;Para impressionar e conquistar a Morte;Para se vingar dos Vingadores;3
"Durante a saga ""A Queda do Morcego"", como Bane conseguiu derrotar o Batman?";Ele envenenou Bruce Wayne;Ele libertou todos os criminosos de Arkham para esgotar Batman antes do confronto;Ele usou magia para enfraquecer Bruce;Ele fez Batman lutar contra o Coringa antes de atacá-lo;2
Qual foi o primeiro evento da Marvel Comics a cruzar múltiplas publicações e afetar todo o universo da editora?;Guerras Secretas (1984);Vingadores: A Queda;A Saga da Fênix Negra;Guerra Civil;1
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
